"","x"
"1713","102301"
"1714","102302"
"1715","102381"
"1716","102383"
"1717","102418"
"1718","102419"
"1719","102448"
"1720","102636"
"1721","102736"
"1722","102737"
"1723","102738"
"1724","102739"
"1725","102766"
"1726","102767"
"1727","102877"
"1728","102878"
"1729","102880"
"1730","102979"
"1731","102980"
"1732","102981"
"1733","103386"
"1734","103459"
"1735","103460"
"1736","103570"
"1737","103633"
"1738","103690"
"1739","104805"
"1740","104806"
"1741","104807"
"1742","105641"
"1743","105642"
"1744","105903"
"1745","106010"
"1746","106042"
"1747","107152"
"1748","107153"
"1749","107545"
"1750","107587"
"1751","107588"
"1752","107669"
"1753","107689"
"1754","107850"
"1755","107944"
"1756","107964"
"1757","107968"
"1758","107969"
"1759","107970"
"1760","107991"
"1761","107992"
"1762","107993"
"1763","107994"
"1764","107995"
"1765","107996"
"1766","108004"
"1767","108005"
"1768","108009"
"1769","108012"
"1770","108013"
"1771","108014"
"1772","108015"
"1773","108016"
"1774","108018"
"1775","108019"
"1776","108028"
"1777","108030"
"1778","108031"
"1779","108050"
"1780","108051"
"1781","108069"
"1782","108071"
"1783","108076"
"1784","108077"
"1785","108079"
"1786","108084"
"1787","108085"
"1788","108086"
"1789","108087"
"1790","108088"
"1791","108089"
"1792","108369"
"1793","108370"
"1794","108371"
"1795","108372"
"1796","108373"
"1797","108452"
"1798","109252"
"1799","109253"
"1800","109254"
"1801","109346"
"1802","109351"
"1803","109353"
"1804","109363"
"1805","109364"
"1806","109400"
"1807","109456"
"1808","109754"
"1809","109817"
"1810","109819"
"1811","110150"
"1812","110151"
"1813","110686"
"1814","111021"
"1815","111152"
"1816","111322"
"1817","111323"
"1818","111324"
"1819","111804"
"1820","111805"
"1821","111806"
"1822","111869"
"1823","111870"
"1824","112013"
"1825","112014"
"1826","112015"
"1827","112016"
"1828","112017"
"1829","112257"
"1830","112667"
"1831","113574"
"1832","114261"
"1833","114280"
"1834","114281"
"1835","114282"
"1836","114357"
"1837","114358"
"1838","114359"
"1839","114556"
"1840","114756"
"1841","114757"
"1842","114764"
"1843","114765"
"1844","115320"
"1845","115321"
"1846","116313"
"1847","116317"
"1848","116319"
"1849","116320"
"1850","116321"
"1851","116323"
"1852","116324"
"1853","116326"
"1854","116329"
"1855","116330"
"1856","116331"
"1857","116333"
"1858","116335"
"1859","116336"
"1860","116364"
"1861","116365"
"1862","116367"
"1863","116368"
"1864","116374"
"1865","116375"
"1866","116376"
"1867","116377"
"1868","116463"
"1869","116464"
"1870","116543"
"1871","116545"
"1872","116586"
"1873","116587"
"1874","116588"
